Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_travel_frequently,BusinessTravel_travel_rarely,Department_research & development,Department_sales,EducationField_life sciences,EducationField_marketing,EducationField_medical,EducationField_other,EducationField_technical degree,JobRole_human resources,JobRole_laboratory technician,JobRole_manager,JobRole_manufacturing director,JobRole_research director,JobRole_research scientist,JobRole_sales executive,JobRole_sales representative,MaritalStatus_married,MaritalStatus_single
34,0,665,6,4,1,138,1,0,41,3,2,3,4809,12482,1,y,0,14,3,3,80,0,16,3,3,16,13,2,10,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
37,0,1040,2,2,1,139,3,1,100,2,2,4,5163,15850,5,y,0,14,3,4,80,1,17,2,4,1,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,1,240,5,3,1,142,3,1,46,2,2,3,5744,26959,1,y,1,11,3,4,80,0,6,1,3,6,4,0,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
25,0,1280,7,1,1,143,4,1,64,2,1,4,2889,26897,1,y,0,11,3,3,80,2,2,2,3,2,2,2,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
24,0,1127,18,1,1,150,2,1,52,3,1,3,2774,13257,0,y,0,12,3,3,80,1,6,2,3,5,3,1,2,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
34,0,1031,6,4,1,151,3,0,45,2,2,2,4505,15000,6,y,0,15,3,3,80,1,12,3,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37,0,1189,3,3,1,152,3,1,87,3,3,4,7428,14506,2,y,0,12,3,1,80,0,12,3,3,5,3,1,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
33,0,750,22,2,1,160,3,1,95,3,2,2,6146,15480,0,y,0,13,3,1,80,1,8,2,4,7,7,0,7,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
26,0,841,6,3,1,164,3,0,46,2,1,2,2368,23300,1,y,0,19,3,3,80,0,5,3,2,5,4,4,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
19,1,528,22,1,1,167,4,1,50,3,1,3,1675,26820,1,y,1,19,3,4,80,0,0,2,2,0,0,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
22,0,594,2,1,1,169,3,1,100,3,1,4,2523,19299,0,y,0,14,3,3,80,1,3,2,3,2,1,2,1,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
49,0,470,20,4,1,170,3,0,96,3,2,1,6567,5549,1,y,0,14,3,3,80,0,16,2,2,15,11,5,11,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
43,0,957,28,3,1,171,2,0,72,4,1,3,4739,16090,4,y,0,12,3,4,80,0,18,2,3,3,2,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
50,0,809,12,3,1,174,3,0,77,3,3,4,9208,6645,4,y,0,11,3,4,80,0,16,3,3,2,2,2,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
31,1,542,20,3,1,175,2,0,71,1,2,3,4559,24788,3,y,1,11,3,3,80,1,4,2,3,2,2,2,2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
41,0,802,9,1,1,176,3,1,96,3,3,3,8189,21196,3,y,1,13,3,3,80,1,12,2,3,9,7,0,7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
51,1,1150,8,4,1,179,1,1,53,1,3,4,10650,25150,2,y,0,15,3,4,80,0,18,2,3,4,2,0,3,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
39,0,1329,4,4,1,182,4,0,47,2,2,3,5902,14590,4,y,0,14,3,3,80,1,17,1,4,15,11,5,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
25,0,959,28,3,1,183,1,1,41,2,2,3,8639,24835,2,y,0,18,3,4,80,0,6,3,3,2,2,2,2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
30,0,1240,9,3,1,184,3,1,48,3,2,4,6347,13982,0,y,1,19,3,4,80,0,12,2,1,11,9,4,7,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
45,0,1316,29,3,1,192,3,1,83,3,1,4,3452,9752,5,y,0,13,3,2,80,0,9,2,2,6,5,0,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
30,0,438,18,3,1,194,1,0,75,3,1,3,2632,23910,1,y,0,14,3,3,80,0,5,4,2,5,4,0,4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
30,0,201,5,3,1,197,4,0,84,3,1,1,3204,10415,5,y,0,14,3,4,80,1,8,3,3,3,2,2,2,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
30,0,1427,2,1,1,198,2,1,35,2,1,4,2720,11162,0,y,0,13,3,4,80,0,6,3,3,5,3,1,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
19,0,1181,3,1,1,201,2,0,79,3,1,2,1483,16102,1,y,0,14,3,4,80,0,1,3,3,1,0,0,0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
35,0,662,1,5,1,204,3,1,94,3,3,2,7295,11439,1,y,0,13,3,1,80,2,10,3,3,10,8,0,6,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
32,0,967,8,3,1,207,2,0,43,3,3,4,8998,15589,1,y,0,14,3,4,80,0,9,2,3,9,8,3,7,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
29,0,1496,1,1,1,208,4,1,41,3,2,3,4319,26283,1,y,0,13,3,1,80,1,10,1,3,10,7,0,9,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
51,0,1169,7,4,1,211,2,1,34,2,2,3,6132,13983,2,y,0,17,3,3,80,0,10,2,3,1,0,0,0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
40,0,630,4,4,1,215,3,1,67,2,3,4,10855,8552,7,y,0,11,3,1,80,1,15,2,2,12,11,2,11,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
34,0,303,2,4,1,216,3,0,75,3,1,3,2231,11314,6,y,0,18,3,4,80,1,6,3,3,4,3,1,2,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
27,0,691,9,3,1,218,4,1,57,3,1,2,2024,5970,6,y,0,18,3,4,80,1,6,1,1,2,2,2,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28,0,440,21,3,1,221,3,1,42,3,1,4,2713,6672,1,y,0,11,3,3,80,1,5,2,1,5,2,0,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
57,0,334,24,2,1,223,3,1,83,4,3,4,9439,23402,3,y,1,16,3,2,80,1,12,2,1,5,3,1,4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,0,1450,3,3,1,224,3,1,79,2,1,3,2566,25326,1,y,1,15,3,4,80,1,1,2,2,1,1,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
41,0,465,14,3,1,227,1,1,56,3,1,3,2451,4609,4,y,0,12,3,1,80,1,13,2,3,9,8,1,8,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,0,1157,17,3,1,233,3,1,51,3,1,2,3058,13364,0,y,1,16,3,4,80,1,6,3,2,5,2,1,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
45,0,1268,4,2,1,240,3,0,30,3,2,1,5006,6319,4,y,1,11,3,1,80,1,9,3,4,5,4,0,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
56,0,713,8,3,1,241,3,0,67,3,1,1,4257,13939,4,y,1,18,3,3,80,1,19,3,3,2,2,2,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
33,0,134,2,3,1,242,3,1,90,3,1,4,2500,10515,0,y,0,14,3,1,80,0,4,2,4,3,1,0,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
38,0,1380,9,2,1,245,3,0,75,3,1,4,2288,6319,1,y,0,12,3,3,80,0,2,3,3,2,2,2,1,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
34,0,629,27,2,1,247,4,0,95,3,1,2,2311,5711,2,y,0,15,3,4,80,0,9,3,3,3,2,1,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
50,0,328,1,3,1,249,3,1,86,2,1,3,3690,3425,2,y,0,15,3,4,80,1,5,2,2,3,2,0,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
53,0,1084,13,2,1,250,4,0,57,4,2,1,4450,26250,1,y,0,11,3,3,80,2,5,3,3,4,2,1,3,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
34,0,1069,2,1,1,256,4,1,45,2,2,3,9547,14074,1,y,0,17,3,3,80,0,10,2,2,10,9,1,9,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
27,0,894,9,3,1,260,4,0,99,3,1,2,2279,11781,1,y,0,16,3,4,80,0,7,2,2,7,7,0,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
35,1,556,23,2,1,261,2,1,50,2,2,3,5916,15497,3,y,1,13,3,1,80,0,8,1,3,1,0,0,1,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
37,0,290,21,3,1,267,2,1,65,4,1,1,3564,22977,1,y,1,12,3,1,80,1,8,3,2,8,7,1,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
38,0,1084,29,3,1,273,4,1,54,3,2,4,6261,4185,3,y,0,18,3,1,80,1,9,3,1,7,7,1,7,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
27,0,472,1,1,1,274,3,1,60,2,2,1,4298,9679,5,y,0,19,3,3,80,1,6,1,3,2,2,2,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
34,0,878,10,4,1,277,4,1,43,3,1,3,3815,5972,1,y,1,17,3,4,80,1,5,4,4,5,3,2,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
40,0,905,19,2,1,281,3,1,99,3,2,4,2741,16523,8,y,1,15,3,3,80,1,15,2,4,7,2,3,7,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
38,1,1180,29,1,1,282,2,1,70,3,2,1,6673,11354,7,y,1,19,3,2,80,0,17,2,3,1,0,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
22,0,1136,5,3,1,284,4,1,60,4,1,2,2328,12392,1,y,1,16,3,1,80,1,4,2,2,4,2,2,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
36,0,635,18,1,1,286,2,0,73,3,1,4,2153,7703,1,y,0,13,3,1,80,0,8,2,3,8,1,1,7,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
46,0,644,1,4,1,288,4,1,97,3,3,1,9396,12368,7,y,0,16,3,3,80,1,17,3,3,4,2,0,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
27,0,1242,20,3,1,293,4,0,90,3,2,3,9981,12916,1,y,0,14,3,4,80,0,7,2,3,7,7,0,7,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
41,0,896,6,3,1,298,4,0,75,3,3,4,13591,14674,3,y,1,18,3,3,80,0,16,3,3,1,0,0,0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
29,1,992,1,3,1,300,3,1,85,3,1,3,2058,19757,0,y,0,14,3,4,80,0,7,1,2,6,2,1,5,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
54,0,1147,3,3,1,303,4,0,52,3,2,1,5940,17011,2,y,0,14,3,4,80,1,16,4,3,6,2,0,5,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
36,0,1396,5,2,1,304,4,1,62,3,2,2,5914,9945,8,y,0,16,3,4,80,0,16,3,4,13,11,3,7,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
31,0,979,1,4,1,308,3,1,90,1,2,3,4345,4381,0,y,0,12,3,4,80,1,6,2,3,5,4,1,4,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
37,0,319,4,4,1,311,1,1,41,3,1,4,2793,2539,4,y,0,17,3,3,80,1,13,2,3,9,8,5,8,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
35,0,944,1,3,1,314,3,0,92,3,3,3,8789,9096,1,y,0,14,3,1,80,0,10,3,4,10,7,0,8,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
29,1,896,18,1,1,315,3,1,86,2,1,4,2389,14961,1,y,1,13,3,3,80,0,4,3,2,4,3,0,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
52,0,1323,2,3,1,316,3,0,89,2,1,4,3212,3300,7,y,0,15,3,2,80,0,6,3,2,2,2,2,2,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
59,0,818,6,2,1,321,2,1,52,3,1,3,2267,25657,8,y,0,17,3,4,80,0,7,2,2,2,2,2,2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
33,1,813,14,3,1,325,3,1,58,3,1,4,2436,22149,5,y,1,13,3,3,80,1,8,2,1,5,4,0,4,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
32,1,515,1,3,1,331,4,1,62,2,1,3,3730,9571,0,y,1,14,3,4,80,0,4,2,1,3,2,1,2,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
32,0,976,26,4,1,333,3,1,100,3,2,4,4465,12069,0,y,0,18,3,1,80,0,4,2,3,3,2,2,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
41,0,1411,19,2,1,334,3,1,36,3,2,1,3072,19877,2,y,0,16,3,1,80,2,17,2,2,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40,0,1300,24,2,1,335,1,1,62,3,2,4,3319,24447,1,y,0,17,3,1,80,2,9,3,3,9,8,4,7,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
33,0,832,5,4,1,338,3,0,63,2,1,4,2911,14776,1,y,0,13,3,3,80,1,2,2,2,2,2,0,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
34,0,470,2,4,1,339,4,1,84,2,2,1,5957,23687,6,y,0,13,3,2,80,1,13,3,3,11,9,5,9,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
37,0,1017,1,2,1,340,3,0,83,2,1,1,3920,18697,2,y,0,14,3,1,80,1,17,2,2,3,1,0,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
45,0,1199,7,4,1,341,1,1,77,4,2,3,6434,5118,4,y,0,17,3,4,80,1,9,1,3,3,2,0,2,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
29,0,665,15,3,1,346,3,1,60,3,1,4,2340,22673,1,y,0,19,3,1,80,0,6,1,3,6,5,1,5,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,0,916,17,2,1,347,4,0,82,4,2,1,6545,23016,3,y,1,13,3,3,80,0,10,1,3,3,2,0,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
29,0,1247,20,2,1,349,4,1,45,3,2,4,6931,10732,2,y,0,14,3,4,80,1,10,2,3,3,2,0,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
25,0,685,1,3,1,350,1,0,62,3,2,3,4898,7505,0,y,0,12,3,4,80,2,5,3,3,4,2,1,2,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
31,1,307,29,2,1,355,3,1,71,2,1,2,3479,11652,0,y,0,11,3,2,80,0,6,2,4,5,4,1,4,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
29,0,1210,2,3,1,366,1,1,78,2,2,2,6644,3687,2,y,0,19,3,2,80,2,10,2,3,0,0,0,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
25,0,675,5,2,1,369,2,1,85,4,2,1,4000,18384,1,y,0,12,3,4,80,2,6,2,3,6,3,1,5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,0,996,3,2,1,379,4,1,100,2,1,3,3230,10531,1,y,0,17,3,1,80,0,3,4,4,3,2,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,0,728,1,4,1,380,1,0,80,3,3,4,13603,11677,2,y,1,18,3,1,80,2,15,2,3,5,2,0,2,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
29,0,442,2,2,1,388,2,1,44,3,2,4,4554,20260,1,y,0,18,3,1,80,0,10,3,2,10,7,0,9,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
55,0,147,20,2,1,389,2,1,37,3,2,4,5415,15972,3,y,1,19,3,4,80,1,12,4,3,10,7,0,8,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
